0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0xE4AE564ACFAB4CB3: This perennial is a favorite for Sims who love the color red.	→	This perennial is a favourite for Sims who love the colour red.
0xE4BD94987B2B21D6: Change Color	→	Change Colour
0xE4CD12F2E3929B6D: Get on the Honor Roll.	→	Get on the Honour Roll.
0xE4DF79792DCA8BD6: Recognizing beauty, even one's own, is just a benefit of vanity.	→	Recognising beauty, even one's own, is just a benefit of vanity.
0xE4E816ACD811275C: Favorite Aspect: {0.String} ({1.Number} photos)	→	Favourite Aspect: {0.String} ({1.Number} photos)
0xE52236641F45B97F: Argyle Sinclair sat alone on the stage at the Theatre and heaped derision and scorn upon your formerly good name. You should make an appearance at the competition next time!	→	Argyle Sinclair sat alone on the stage at the Cinema and heaped derision and scorn upon your formerly good name. You should make an appearance at the competition next time!
0xE5298AB2B11595A5: There’s something romantic about a bright, colorful wagon where predictions are made. Call it destiny, fate, or just an everyday coincidence, but WooHooing in the gypsy wagon was bound to happen.	→	There’s something romantic about a bright, colourful wagon where predictions are made. Call it destiny, fate, or just an everyday coincidence, but WooHooing in the fortune wagon was bound to happen.
0xE52D711C9D38175B: Current Eye Color	→	Current Eye Colour
0xE5420142C9FFA338: Tour Administration Center With Date	→	Tour Administration Centre With Date
0xE55D1A78042C9E23: Play Collegiate Sport...	→	Play Varsity Sport...
0xE563547AF13903D4: It's a hit! The patrons loved the way the sound of your music perfectly complemented the well-balanced flavors of the cuisine. The restaurant is quite pleased - enjoy the cash!	→	It's a hit! The patrons loved the way the sound of your music perfectly complemented the well-balanced flavours of the cuisine. The restaurant is quite pleased - enjoy the cash!
0xE564C8F659E70DC8: If you're a prospective horse owner, a verified horse breeder, or an expert rider looking to earn some cold hard simoleons, the Equestrian Center is where you want to be.	→	If you're a prospective horse owner, a verified horse breeder, or an expert rider looking to earn some cold hard simoleons, the Equestrian Centre is where you want to be.
0xE564C8F659E70DCA: So now you have a horse and you're wondering what to do with it. How about some competitions! Start off by attending a riding class to learn all about the Riding Skill. As you advance and your horse trains their Jumping and Racing Skills, more competitions will open up at the Equestrian Center. These competitions are a great way to see just how well horse and rider have bonded, as well as making a little money on the side. Alternatively, just come watch a competition with friends and family for a fun social outing!	→	So now you have a horse and you're wondering what to do with it. How about some competitions! Start off by attending a riding class to learn all about the Riding Skill. As you advance and your horse trains their Jumping and Racing Skills, more competitions will open up at the Equestrian Centre. These competitions are a great way to see just how well horse and rider have bonded, as well as making a little money on the side. Alternatively, just come watch a competition with friends and family for a fun social outing!
0xE58800F656A4D616: See a Play or Concert at the Theatre	→	See a Play or Concert at the Cinema
0xE5DD612FF2638562: Dogs don't need to have intricate conversations, but a little social interaction is definitely necessary.  After all, being alone all of the time couldn't possibly keep {0.SimFirstName} happy.	→	Dogs don't need to have intricate conversations, but a little social interaction is definitely necessary. After all, being alone all of the time couldn't possibly keep {0.SimFirstName} happy.
0xE5F46B2FF2767490: Cats don't need to have intricate conversations, but a little social interaction is definitely necessary.  After all, being alone all of the time couldn't possibly keep {0.SimFirstName} happy.	→	Cats don't need to have intricate conversations, but a little social interaction is definitely necessary. After all, being alone all of the time couldn't possibly keep {0.SimFirstName} happy.
0xE605564DED11D64E: There's a show going on at the theatre! Go to Map View to find the theatre in town. {0.SimFirstName} would have a great time.	→	There's a show going on at the cinema! Go to Map View to find the cinema in town. {0.SimFirstName} would have a great time.
0xE61E0B8D35D74FF7: Martial artists may choose to spar with other practitioners of the skill. Some Sims will even travel all the way to Shang Simla to test their skills competitively. The ranked tournament circuit is home to some of the most skilled martial artists in the world.	→	Martial artists may choose to spar with other practitioners of the skill. Some Sims will even travel all the way to Shang Simla to test their skills competitively. The ranked tournament tour is home to some of the most skilled martial artists in the world.
0xE626A1B8D826CD35: Country Girl (Shake It For Me)  	→	Country Girl (Shake It For Me) 
0xE63924C8D7D743CA: High School Teacher	→	Secondary School Teacher
0xE644370EAB6131D4: Ah, it seems you are quite busy.  Well that's okay.  Later!	→	Ah, it seems you are quite busy. Well that's okay. Later!
0xE661E1F72BDA8AD7: SebastionHumorsbane	→	SebastionHumoursbane
0xE674B9A1D59A901D: You have just entered Coat Advanced Mode. Add, Delete, and Duplicate Layers to create your ideal pet. Each layer can be a specific region or a marking. Use pre-created regions or customize your own by moving, scaling, and rotating markings.  For Cats and Dogs you will also be able to customize their fur shape.	→	You have just entered Coat Advanced Mode. Add, Delete, and Duplicate Layers to create your ideal pet. Each layer can be a specific region or a marking. Use pre-created regions or customise your own by moving, scaling, and rotating markings. For Cats and Dogs you will also be able to customise their fur shape.
0xE6A7F5EACB36933B: Custom Color	→	Custom Colour
0xE6ABC666430828EE: Your Sim could really use a kitten to make the hard times easier to bear.  Bad things just don't seem so bad when you're snuggling with a kitten! Your Sim wants to Have Kittens.	→	Your Sim could really use a kitten to make the hard times easier to bear. Bad things just don't seem so bad when you're snuggling with a kitten! Your Sim wants to Have Kittens.
0xE712792F2A139147: Hair Color Presets	→	Hair Colour Presets
0xE72726F1CA12570C: Localization Support	→	Localisation Support
0xE72EEDDCBEABA7BD: The cave looming before {0.SimFirstName} isn't nearly as intimidating as the gigantic ogre rumored to be sleeping in its depths. Alas, the adventure must continue.	→	The cave looming before {0.SimFirstName} isn't nearly as intimidating as the gigantic ogre rumoured to be sleeping in its depths. Alas, the adventure must continue.
0xE74FCCD5965315CB: Analyze Prints	→	Analyse Prints
0xE76619347E1B8449: Your Sim hopes to reign supreme on the highly dangerous Ranked Chess Circuit. Use the phone to invite over your next opponent.	→	Your Sim hopes to reign supreme on the highly dangerous Ranked Chess Tour. Use the phone to invite over your next opponent.
0xE7672A935B8881F9: Independent pets prefer to be on their own rather than socializing or playing with other pets and Sims.	→	Independent pets prefer to be on their own rather than socialising or playing with other pets and Sims.
0xE7AA838802C91160: {0.SimFirstName}'s book order has been placed and will arrive in the mail shortly!	→	{0.SimFirstName}'s book order has been placed and will arrive in the post shortly!
0xE7B8604B3B245EC1: You've proven that you can handle the small time competitions. It's time to take your skills and back them up on the International Circuit! Will you become a house hold name or a forgotton local legend who has been reduced to the main attraction at the local petting zoo?... Your Sim wishes to Enter an International Cross-Country Competition.	→	You've proven that you can handle the small time competitions. It's time to take your skills and back them up on the International Tour! Will you become a house hold name or a forgotten local legend who has been reduced to the main attraction at the local petting zoo?... Your Sim wishes to Enter an International Cross-Country Competition.
0xE7C7679EFD4651D3: There aren’t too many windows!  I’m so happy no one will see my nefarious activities.	→	There aren’t too many windows! I’m so happy no one will see my nefarious activities.
0xE7CF5663C1B47FF5: This lot is owned by the {0.String} household. Bulldozing this house will require evicting the household first.	→	This lot is owned by the {0.String} household. Bulldosing this house will require evicting the household first.
0xE7E7D91BBA126186: Daycare End of Day Report	→	Nursery End of Day Report
0xE80084713B65543A: {0.SimFirstName}'s actions have pleased some of the inhabitants of this graveyard.  {0.SimFirstName} has been rewarded with {1.Money}.	→	{0.SimFirstName}'s actions have pleased some of the inhabitants of this graveyard. {0.SimFirstName} has been rewarded with {1.Money}.
0xE81D8CB03F45A6A5: The Theatre owner likes what you’re doing with your guitar abilities, but wants to see you take your talent one step further. Improve your Guitar Skill by one level and the Theatre owner will reward you with a new composition!	→	The Cinema owner likes what you’re doing with your guitar abilities, but wants to see you take your talent one step further. Improve your Guitar Skill by one level and the Cinema owner will reward you with a new composition!
0xE84A133424A75AA3: The band just booked a last minute gig at the Theatre and they need your help setting up! If only the roadies weren’t given the night off! Quickly head to the Theatre to assist the band and you’ll be paid a cash bonus and your job performance will increase.	→	The band just booked a last minute gig at the Cinema and they need your help setting up! If only the roadies weren’t given the night off! Quickly head to the Cinema to assist the band and you’ll be paid a cash bonus and your job performance will increase.
0xE854CA352430C12F: For grilling for the whole neighborhood, you are now known as a Community Griller in town!	→	For grilling for the whole neighbourhood, you are now known as a Community Griller in town!
0xE87923B0684243CC: • Your pet will not autonomously socialize with younger pets.	→	• Your pet will not autonomously socialise with younger pets.
0xE882BC5A00D68648: Often mistaken for a door (a higher level build item of greater functional worth), this Steeled Dura-Portal is still just a window despite appearances.  If these windows could talk, they would say "Don't walk into me, please."	→	Often mistaken for a door (a higher level build item of greater functional worth), this Steeled Dura-Portal is still just a window despite appearances. If these windows could talk, they would say "Don't walk into me, please."
0xE8D42A59F64D3BEF: It's time to saddle up and buckle down! Entering a Jumping Competition is something you've been preparing for quite some time now. Time to show that all of your hard work and training weren't for nothing! Doing well here will guarantee you and your owner Simoleons, Media Exposure, and possibly crazed Equestrian Racing Groupies! Your Horse wishes to Enter a Jumping Competition.  	→	It's time to saddle up and buckle down! Entering a Jumping Competition is something you've been preparing for quite some time now. Time to show that all of your hard work and training weren't for nothing! Doing well here will guarantee you and your owner Simoleons, Media Exposure, and possibly crazed Equestrian Racing Groupies! Your Horse wishes to Enter a Jumping Competition. 
0xE8D8D77F8AFF5FA7: The Adventure Tracker only appears when your Sim has an Adventure. You can minimize the Adventure Tracker by clicking the arrow.	→	The Adventure Tracker only appears when your Sim has an Adventure. You can minimise the Adventure Tracker by clicking the arrow.
0xE8E1D3CF89F1F5A0: Ancient Treasure Chests can be found throughout the ancient tombs and sacred halls of long-dead civilizations in China, France, and Egypt.	→	Ancient Treasure Chests can be found throughout the ancient tombs and sacred halls of long-dead civilisations in China, France, and Egypt.
0xE8EB92792A2DD20D: Trash Can	→	Waste Bin
0xE8F2649DCA44CD96: {2.SimName} has just taught {1.SimName} how to Shake! The puffy and padded paws of {1.SimName} are so cute and squishy! {2.SimName} will always remember this moment!  	→	{2.SimName} has just taught {1.SimName} how to Shake! The puffy and padded paws of {1.SimName} are so cute and squishy! {2.SimName} will always remember this moment! 
0xE92512E703094CCF: Theatre goers around town are telling tales about the adventurous thespian that stopped the ticket teller that was selling tickets at high prices. Hurry to the theatre, interview the thespian and get the story! Heroic stories sell papers at a speedy rate, and the Editor will reward you with a job performance boost.	→	Cinema goers around town are telling tales about the adventurous thespian that stopped the ticket teller that was selling tickets at high prices. Hurry to the cinema, interview the thespian and get the story! Heroic stories sell papers at a speedy rate, and the Editor will reward you with a job performance boost.
0xE92E876B2EE3C567: Get on the Honor Roll to earn a cash reward.	→	Get on the Honour Roll to earn a cash reward.
0xE93C10B55689DC41: The sphinx is the guard.  He who wishes the treasures of Horus must prove himself worthy by claiming his greatest treasure before all else.  Beware, only one may enter here!	→	The sphinx is the guard. He who wishes the treasures of Horus must prove himself worthy by claiming his greatest treasure before all else. Beware, only one may enter here!
0xE987A7561F67322B: Master Farmers have harvested at least {0.Number} fruits and vegetables. The plants of Master Farmers remain watered and fertilized longer, meaning their gardens are more efficient.	→	Master Farmers have harvested at least {0.Number} fruits and vegetables. The plants of Master Farmers remain watered and Fertilised longer, meaning their gardens are more efficient.
0xE9A03000A03FA415: Rumors are flying around town that strange creatures of the night have moved into town. Your Sim wants to meet a vampire. Look for Vampires in high-end venues.	→	Rumours are flying around town that strange creatures of the night have moved into town. Your Sim wants to meet a vampire. Look for Vampires in high-end venues.
0xE9BAD777BDA12A3A: Custom Coat Color	→	Custom Coat Colour
0xE9EC8089A7EC53AE: Not all fortune cookies are tasty cookies and not all fortunes are good fortunes, so it was fortunate and memorable to receive a good fortune in a tasty cookie!	→	Not all fortune cookies are tasty biscuits and not all fortunes are good fortunes, so it was fortunate and memorable to receive a good fortune in a tasty biscuit!
0xE9FD0632AAF8F357: The elegant, waterway entrance leads to the centerpiece of the home – the interior atrium at the heart of an open, light-filled living plan. Includes a pool and two-car garage.	→	The elegant, waterway entrance leads to the centrepiece of the home – the interior atrium at the heart of an open, light-filled living plan. Includes a pool and two-car garage.
0xEA2503CFF95BE4A0: It is an honor to present {0.SimFirstName} with the Sim's Choice Award.	→	It is an honour to present {0.SimFirstName} with the Sim's Choice Award.
0xEA4900A06B5D5C62: Thanks for helping us out {0.SimFirstName}.  Here's a little something for your troubles.  Don't worry, we're all reformed and we'll never, *ever* do anything bad again... or at least get caught!	→	Thanks for helping us out {0.SimFirstName}. Here's a little something for your troubles. Don't worry, we're all reformed and we'll never, *ever* do anything bad again... or at least get caught!
0xEA753397B418C624: Randomize	→	Randomise
0xEAB3901EB3515402: {0.SimName} is exhausted!  {1.SimName} should dismount soon before {0.SimFirstName} bucks them off!	→	{0.SimName} is exhausted! {1.SimName} should dismount soon before {0.SimFirstName} bucks them off!
0xEACF687174205CF6: Your horse caught nothing but air on that jump!  Feelin' GOOD!	→	Your horse caught nothing but air on that jump! Feelin' GOOD!
0xEAD7EA4DB3FDC3A8: Osborne	→	Osbourne
0xEAE6479420D8A39C: What an attractive amalgam of multi-colored delights! Place under a window to dress up your fenestration or outside the front door as a welcoming sight. It's not a real flowerbox if it's not from BowerFlox.	→	What an attractive amalgam of multi-coloured delights! Place under a window to dress up your fenestration or outside the front door as a welcoming sight. It's not a real flowerbox if it's not from BowerFlox.
0xEAE8876F97135C33: {0.SimFirstName} may now enter International Show Jumping and Cross-Country competitions at the Equestrian Center (with a qualified rider).	→	{0.SimFirstName} may now enter International Show Jumping and Cross-Country competitions at the Equestrian Centre (with a qualified rider).
0xEAE8876F97135C37: {0.SimFirstName} may now enter Advanced Show Jumping and Cross-Country competitions at the Equestrian Center (with a qualified rider).	→	{0.SimFirstName} may now enter Advanced Show Jumping and Cross-Country competitions at the Equestrian Centre (with a qualified rider).
0xEAEB041C8D41F45E: There's been an intelligence breach at the local military base and the entire communications regiment is in utter disarray. People are so panicked the latrines haven't been cleaned in days and there are no peeled potatoes - chaos! Get to the military base on the double to hold a meeting to better organize the military's response to the situation, and the board will see that you are given a cash bonus and raise.	→	There's been an intelligence breach at the local military base and the entire communications regiment is in utter disarray. People are so panicked the latrines haven't been cleaned in days and there are no peeled potatoes - chaos! Get to the military base on the double to hold a meeting to better organise the military's response to the situation, and the board will see that you are given a cash bonus and raise.
0xEB05128B437FC4CE: What a jerk that bouncer was! Clearly greatness wasn't recognized at this joint!	→	What a jerk that bouncer was! Clearly greatness wasn't recognised at this joint!
0xEB1A0F859A7597B1: Chocolate Cookie	→	Chocolate Biscuit
0xEB563A3AE2EA5975: Analyze an Insect	→	Analyse an Insect
0xEB699B43F78388C2: For working {MA.his}{FA.her} will on the universe, {0.SimName} has been honored with a statue and the title of The Time Keeper!	→	For working {MA.his}{FA.her} will on the universe, {0.SimName} has been honoured with a statue and the title of The Time Keeper!
0xEB80953830A050F4: Not everyone can keep up with the Goths!  Your Sim is seeing green, feeling mean, and wants to insult some neighbor's home.	→	Not everyone can keep up with the Goths! Your Sim is seeing green, feeling mean, and wants to insult some neighbour's home.
0xEB844D6356B1011C: Town Center Fall Festival	→	Town Centre Fall Festival
0xEB94FF34CAA11DEA: {2.SimName} has just won a Beginner Racing competition. {MA.He}{FA.She}'ll always remember the feeling of accomplishment as {MA.he}{FA.she} crossed the finish line and was awarded Simoleons and a trophy.  	→	{2.SimName} has just won a Beginner Racing competition. {MA.He}{FA.She}'ll always remember the feeling of accomplishment as {MA.he}{FA.she} crossed the finish line and was awarded Simoleons and a trophy. 
0xEBA028B55F86B6A5: Teaching a new trick, such as Sit, can be such an adventure! Your dog is really happy with all the attention {MA.He}{FA.She} is getting that they practically can't sit still from all the excitement!  	→	Teaching a new trick, such as Sit, can be such an adventure! Your dog is really happy with all the attention {MA.He}{FA.She} is getting that they practically can't sit still from all the excitement! 
0xEBC3B64682C792C5: Welcome, {0.SimFirstName}! It is my great joy to bestow upon you the {1.String} in recognition of your achievements in the field of fishing. Display it proudly on the wall! We’ve also gifted you a medal you can wear. The citizens of {TownName} have brighter and more colorful aquariums, fresher sushi, and more beautiful ponds thanks to you! You are an inspiration to aspiring anglers everywhere!	→	Welcome, {0.SimFirstName}! It is my great joy to bestow upon you the {1.String} in recognition of your achievements in the field of fishing. Display it proudly on the wall! We’ve also gifted you a medal you can wear. The citizens of {TownName} have brighter and more colourful aquariums, fresher sushi, and more beautiful ponds thanks to you! You are an inspiration to aspiring anglers everywhere!
0xEBCC065998D5AB60: Realize	→	Realise
0xEBDDE4C574FED543: Start Elementary School	→	Start Primary School
0xEBE2397842B23031: Perform for Tips on the Pool Table	→	Perform for Tips on the Snooker Table
0xEBFCE498E2F9E7B5: Catch a Tragic Clownfish and “Sell Clownfish” at the Theatre to earn some money.	→	Catch a Tragic Clownfish and “Sell Clownfish” at the Cinema to earn some money.
0xEC1BF801786E82A0: Analyze a Rock	→	Analyse a Rock
0xEC1D65729F5F2307: That stray looks like all kinds of trouble!  Quick, shoo it away before it gets too comfortable and decides to stick around… permanently!  Your Sim wants to Shoo the Stray.	→	That stray looks like all kinds of trouble! Quick, shoo it away before it gets too comfortable and decides to stick around… permanently! Your Sim wants to Shoo the Stray.
0xEC320FA1E8F05CA4: Hoping {MA.he}{FA.she} could bum a few wishes, {0.SimName} threw a Vial of Bottled Genie at  {1.SimName} and turned {MB.him}{FB.her} into a genie. 	→	Hoping {MA.he}{FA.she} could bum a few wishes, {0.SimName} threw a Vial of Bottled Genie at {1.SimName} and turned {MB.him}{FB.her} into a genie. 
0xEC9538E0BB218C3B: Sims living in High Rise buildings also have access to Trash Chutes and Wall Mailboxes. These new objects take the place of garbage cans and mailboxes found on standard lots.	→	Sims living in High Rise buildings also have access to Trash Chutes and Wall Mailboxes. These new objects take the place of garbage cans and postboxes found on standard lots.
0xEC9538E0BB218C3C: Depending on where your Sims live, you may see other Sims' front doors off the lobby or in hallways of your building. You won't be able to access their private residences, but feel free to give the door a knock to meet and socialize with your fellow High Rise residents in public spaces.	→	Depending on where your Sims live, you may see other Sims' front doors off the lobby or in hallways of your building. You won't be able to access their private residences, but feel free to give the door a knock to meet and socialise with your fellow High Rise residents in public spaces.
0xECAE431324AAAAF7: {0.SimName} can't open a daycare because {1.SimName} has already opened a daycare at the same household. {0.SimName} can help out with the daycare duties if {MA.he}{FA.she} wants to.	→	{0.SimName} can't open a nursery because {1.SimName} has already opened a nursery at the same household. {0.SimName} can help out with the nursery duties if {MA.he}{FA.she} wants to.
0xECD55E8D7D5399E5: Junkyard	→	Scrapyard
0xECD97B90EAFADF44: Set Light Color...	→	Set Light Colour...
0xECDB29DD04D23591: You’ve actually learned, which lends authority to the claim that you’ll be a successful member of this organization. Very smart! Your job performance has already increased, and the Leader appreciates your presence just a bit more.	→	You’ve actually learned, which lends authority to the claim that you’ll be a successful member of this organisation. Very smart! Your job performance has already increased, and the Leader appreciates your presence just a bit more.
0xED082BA5B1311BB1: {0.SimFirstName} emerges victoriously from the tunnel. {0.SimFirstName} found unspeakably valuable rewards, but a dying underground civilization needed them more. Still, the treasures {0.SimFirstName} did manage to hang on to are quite nice.	→	{0.SimFirstName} emerges victoriously from the tunnel. {0.SimFirstName} found unspeakably valuable rewards, but a dying underground civilisation needed them more. Still, the treasures {0.SimFirstName} did manage to hang on to are quite nice.
0xED16458EBB092C39: You must be as soiled as your work ethic if you have to shower on the job.  I won't tolerate this much longer.	→	You must be as soiled as your work ethic if you have to shower on the job. I won't tolerate this much longer.
0xED17AD5BE89D9610: Fertilized plants tend to produce higher quality fruits and vegetables for harvest. Your Sim thinks it's a good idea to fertilize the plants in the garden using fish, fruits or vegetables.	→	Fertilised plants tend to produce higher quality fruits and vegetables for harvest. Your Sim thinks it's a good idea to Fertilise the plants in the garden using fish, fruits or vegetables.
0xED1C1A457EF28A05: A little taste of paradise disguised in the form of of a sparkling salt lick.  It refills both hunger and thirst.	→	A little taste of paradise disguised in the form of of a sparkling salt lick. It refills both hunger and thirst.
0xED585DDA6CB02062: Daycare	→	Nursery
0xED760024DC858FF4: The Mold that Moved	→	The Mould that Moved
0xED7C0A2EF6D2EF6D: A distant voice resounds from below, “This treasure is not for the taking!  He who disturbs the red priest of Horus will pay with his life!””	→	A distant voice resounds from below, “This treasure is not for the taking! He who disturbs the red priest of Horus will pay with his life!””
0xED99240616643F14: “Get to Know” another Sim in the neighborhood to earn some cash and improve your relationship.	→	“Get to Know” another Sim in the neighbourhood to earn some cash and improve your relationship.
0xEDBB4399BE1BBC6A: Ahhh… what is it about the cool tang of a lemon snow cone that seems to make all the stress just melt away?	→	Ahhh… what is it about the cool tang of a lemon sorbet that seems to make all the stress just melt away?
0xEDC744E4770016C9: Fertilizer Tab text	→	Fertiliser Tab text
0xEDD015039E8C4136: The owner of the local Theatre could use your help in managing the crowds that are expected to surge through for the upcoming events. Get to the Theatre soon to manage the crowds with your muscular abilities and you’ll be paid handsomely.	→	The owner of the local Cinema could use your help in managing the crowds that are expected to surge through for the upcoming events. Get to the Cinema soon to manage the crowds with your muscular abilities and you’ll be paid handsomely.
0xEDE4E5FD86E9C4B8: In My Truck	→	In My Van
0xEDFFDF5D00D858EE: {0.SimFirstName} just experienced a shootout down at the docks. Things were looking pretty grim until {0.SimFirstName} activated the crane and dumped the entire bus full of criminals into the harbor!	→	{0.SimFirstName} just experienced a shootout down at the docks. Things were looking pretty grim until {0.SimFirstName} activated the crane and dumped the entire bus full of criminals into the harbour!
0xEE04D8E2C1A94D6D: You didn’t spend the entire budget.  Our snobbish {0.SimFirstName} is a going to think it looks cheap.	→	You didn’t spend the entire budget. Our snobbish {0.SimFirstName} is a going to think it looks cheap.
0xEE231747DE496D8B: While children pound out song after song on the colorful Rip Co. Xylophone, they're building a strong creative foundation that will last a lifetime. Rip Co. Toys provides kids with all the building blocks they need, instead of just wooden ones.	→	While children pound out song after song on the colourful Rip Co. Xylophone, they're building a strong creative foundation that will last a lifetime. Rip Co. Toys provides kids with all the building blocks they need, instead of just wooden ones.
0xEE3C2D9DC716074D: Go to a Dive Bar	→	Go to a Corner Pub
0xEE405D5D32058C12: Attend Resume Writing and Interview Techniques Class ({0.Money})	→	Attend CV Writing and Interview Techniques Class ({0.Money})
0xEE652C473F46DAD2: This beautiful conch brings in the sounds of the sea. There's a rumor that there are others that also let you speak to the sea!	→	This beautiful conch brings in the sounds of the sea. There's a rumour that there are others that also let you speak to the sea!
0xEEB5F21BA035DDB0: If only {0.SimFirstName} had been thin enough to get through that tight spot, {MA.he}{FA.she} may have found an ancient lost city.  {MA.He}{FA.She} will just have to be happy with whatever trinkets {MA.he}{FA.she} picked up along the way.	→	If only {0.SimFirstName} had been thin enough to get through that tight spot, {MA.he}{FA.she} may have found an ancient lost city. {MA.He}{FA.She} will just have to be happy with whatever trinkets {MA.he}{FA.she} picked up along the way.
0xEEB5F21BA035DDB1: Despite losing {MA.his}{FA.her}  footing several times, and adventuring without a friend, {0.SimFirstName} still managed to find some pretty cool stuff.	→	Despite losing {MA.his}{FA.her} footing several times, and adventuring without a friend, {0.SimFirstName} still managed to find some pretty cool stuff.
0xEEE81422ECF0621E: {0.SimName} has become an Ice Personality sculptor.  Ice sculptures made by {0.SimName} will no longer melt!	→	{0.SimName} has become an Ice Personality sculptor. Ice sculptures made by {0.SimName} will no longer melt!
0xEEEDBBD93E732F73: If you want to catch a turtle, it shouldn't be too hard - seeing as how they only travel two feet per hour. Any respectable feline should be able to manage that! Your Cat wants to Catch a Turtle.	→	If you want to catch a turtle, it shouldn't be too hard - seeing as how they only travel 60cm (2') per hour. Any respectable feline should be able to manage that! Your Cat wants to Catch a Turtle.
0xEEF0C08D2D999A10: Years ago, when the first Cleanesque Alpha was put on the market, few thought it would revolutionize the washing machine market. Boy were they wrong! Today, the Alpha is the industry leader in all things laundry! Its patented double inverted clothing impeller design is unmatched in quality and efficiency!	→	Years ago, when the first Cleanesque Alpha was put on the market, few thought it would revolutionise the washing machine market. Boy were they wrong! Today, the Alpha is the industry leader in all things laundry! Its patented double inverted clothing impeller design is unmatched in quality and efficiency!
0xEF0BD0CCABE64824: Your Friendly Neighborhood Police Officer	→	Your Friendly Neighbourhood Police Officer
0xEF394C63EF186576: Please cancel the game uninstaller, otherwise your game will be uninstalled and your machine will be de-authorized, but your de-authorization will not be recorded on our server!	→	Please cancel the game uninstaller, otherwise your game will be uninstalled and your machine will be de-authorized, but your de-authorisation will not be recorded on our server!
0xEF6B4A5127D8658D: Defend Lover's Honor	→	Defend Lover's Honour
0xEF7910EB40E668F3: The Protest that {0.SimName} organized was a huge success! Employed Sims will receive a raise, effective immediately!	→	The Protest that {0.SimName} organised was a huge success! Employed Sims will receive a raise, effective immediately!
0xEF8647B563752348: Similar to "marking a territory", you want to let your Sim know that {MA.he}{FA.she} is your favorite! Your pet wants to mark a Sim to show them some love. 	→	Similar to "marking a territory", you want to let your Sim know that {MA.he}{FA.she} is your favourite! Your pet wants to mark a Sim to show them some love. 
0xEF8FEE8D9A0FEEF3: Coat Color	→	Coat Colour
0xEFA08A854ED548FB: Your horse is feeling maternal, and an important part of being a good mother is making sure that your child doesn't starve.  Your horse wants to Nurse the Foal.	→	Your horse is feeling maternal, and an important part of being a good mother is making sure that your child doesn't starve. Your horse wants to Nurse the Foal.
0xEFA0A2D7DE2CDEE9: {0.SimName} just tagged {1.SimName} with a dollop of Light Blue Dew! At least {MA.he}{FA.she} went for a soothing pastel color.	→	{0.SimName} just tagged {1.SimName} with a dollop of Light Blue Dew! At least {MA.he}{FA.she} went for a soothing pastel colour.
0xEFBA9104CBFAC6C3: Last year, Diva Doll was a typical high school sophomore. Now, this tween sensation is burning up the charts with hits like “Dream D8” and “Brb 4 Yer Luv.” Her follow-up album, ““U Make Me Lol (in a good way),” is due out sometime next year.	→	Last year, Diva Doll was a typical secondary school sophomore. Now, this tween sensation is burning up the charts with hits like “Dream D8” and “Brb 4 Yer Luv.” Her follow-up album, “U Make Me Lol (in a good way),” is due out sometime next year.
0xEFBC1B76EE764861: Randomize	→	Randomise
0xEFC8D68B722987A8: The deliberate asymmetry of this piece makes it a unique one from planter shape sculptor Ete Takoyaki.  Known for his regularity in aesthetic balance, this planter is a big departure from boxes and pots to folds and creases.  Whatever will he dig up next?	→	The deliberate asymmetry of this piece makes it a unique one from planter shape sculptor Ete Takoyaki. Known for his regularity in aesthetic balance, this planter is a big departure from boxes and pots to folds and creases. Whatever will he dig up next?
0xEFE18A0D24C2DDAB: {0.SimFirstName} made it through with flying colors!  {0.SimFirstName}'s teammates are impressed and he wins some cash from the betting pool!	→	{0.SimFirstName} made it through with flying colours! {0.SimFirstName}'s teammates are impressed and he wins some cash from the betting pool!
0xEFE4F3C270817EA8: Favorites	→	Favourites
0xF011126707CF1534: If palm leaves don't say "tropics" to you, then I don't know what does! Say, "tropics" to all of your neighbors with the Fan Leaf Palm Tree!	→	If palm leaves don't say "tropics" to you, then I don't know what does! Say, "tropics" to all of your neighbours with the Fan Leaf Palm Tree!
0xF012A1E15DA0EE63: Any Sim can set foot in a tomb, but only the smartest, bravest Sims have the resolve to fully explore a tomb! Rumors say that the end of tombs contain treasures beyond imagine for Sims brave enough to navigate the traps and tricks of the tomb. Your Sim wants to explore the entirety of a tomb!	→	Any Sim can set foot in a tomb, but only the smartest, bravest Sims have the resolve to fully explore a tomb! Rumours say that the end of tombs contain treasures beyond imagine for Sims brave enough to navigate the traps and tricks of the tomb. Your Sim wants to explore the entirety of a tomb!
0xF04DEC89C226CD4E: Click to reduce the catalog size.	→	Click to reduce the catalogue size.
0xF05FB2BD5246E823: The cold season is near and nothing ruins a day like being stuck at home with the flu. Get your ounce of prevention at the local hospital!	→	The cold season is near and nothing ruins a day like being stuck at home with the flu. Get your gram of prevention at the local hospital!
0xF0620A883477BF8D: The Cozinator 450	→	The Cosinator 450
0xF06B9D8FE8D46C8E: Favorite color discovered!	→	Favourite colour discovered!
0xF0729FCA4FDF98F8: Each bar changes color to reflect the current status of a particular need. If a need is low enough or high enough to prompt a moodlet the moodlet icon is visible next to the related need.	→	Each bar changes colour to reflect the current status of a particular need. If a need is low enough or high enough to prompt a moodlet the moodlet icon is visible next to the related need.
